Country Code,ISO3,Country Name eng,Country Name fr,1979,2010,1984,2009,2004,1991,1972,1983,1969,2013,2018,1993,1978,2012,2008,Indicator Code,1960,1976,2006,2001,1980,1963,1971,1982,1995,2005,2022,1989,2017,1967,1981,Unnamed: 67,2002,2019,1985,1992,2016,2015,1998,2003,1975,1990,1986,2021,1994,1988,1970,Indicator Name,2000,1965,1977,2007,1996,1968,2020,1973,2011,1964,1997,1966,2014,1987,1962,1974,1961,1999
8.0,ATG,Antigua and Barbuda,Antigua-et-Barbuda,,465.8,,453.6,367.4,221.4,,,,472.9,508.6,222.0,,469.9,428.1,EN.ATM.CO2E.KT,,,398.0,321.9,,,,,235.2,376.7,,,500.1,,,,335.1,509.0,,218.5,500.5,490.2,286.0,360.7,,218.2,,,225.2,,,Émissions de CO2 (kt),312.5,,,419.2,254.8,,474.6,,456.1,,267.6,,476.6,,,,,299.3
10.0,AUS,Australia,Australie,,395993.2,,393859.7,366141.6,264709.7,,,,388427.4,396059.9,273016.9,,395690.0,387570.3,EN.ATM.CO2E.KT,,,374104.4,345609.4,,,,,290141.5,368801.9,,,397149.4,,,,353315.8,395199.1,,268366.5,394803.6,385782.4,327536.9,352893.5,,263437.5,,,280096.3,,,Émissions de CO2 (kt),339422.8,,,384368.3,300180.4,,378996.8,,394436.7,,307778.5,,379267.2,,,,,333677.7
11.0,AUT,Austria,Autriche,,69965.1,,64420.7,75802.1,62423.2,,,,65752.7,63131.4,57804.0,,65112.0,70734.7,EN.ATM.CO2E.KT,,,74104.4,67914.4,,,,,61186.4,76242.4,,,65867.7,,,,69374.2,64497.8,,57668.0,63697.1,63254.7,64673.1,74467.9,,58275.7,,,58288.2,,,Émissions de CO2 (kt),63538.6,,,71248.0,64902.9,,59142.4,,68276.0,,64224.1,,62054.5,,,,,63055.1
52.0,AZE,Azerbaijan,Azerbaïdjan,,24311.9,,25495.8,28311.9,52059.4,,,,30939.6,32728.1,48052.0,,30110.6,30447.6,EN.ATM.CO2E.KT,,,30488.4,26397.2,,,,,32474.9,30043.4,,,31957.0,,,,26177.6,35521.0,,63613.2,32239.4,31773.3,26490.5,28569.4,,53483.7,,,33515.3,,,Émissions de CO2 (kt),27687.2,,,27627.7,27193.3,,34305.0,,27282.1,,26489.6,,32243.4,,,,,26122.2
29.0,BDI,Burundi,Burundi,,323.3,,198.1,159.6,229.6,,,,366.4,664.9,210.6,,364.2,198.7,EN.ATM.CO2E.KT,,,191.6,210.2,,,,,216.9,161.0,,,529.1,,,,218.1,707.4,,201.2,442.0,366.8,232.5,171.2,,187.6,,,210.6,,,Émissions de CO2 (kt),262.6,,,192.1,223.3,,713.466,,359.3,,226.2,,364.8,,,,,233.8
255.0,BEL,Belgium,Belgique,,106872.8,,99904.4,113350.8,113960.1,,,,96550.6,93523.2,110108.3,,95275.6,106715.4,EN.ATM.CO2E.KT,,,108081.5,118339.8,,,,,114568.7,110960.2,,,92587.4,,,,110850.2,92989.4,,112329.3,94171.6,95096.0,119412.8,115502.1,,109312.6,,,114901.4,,,Émissions de CO2 (kt),117274.6,,,103905.8,119448.4,,85364.1,,96488.2,,116634.7,,90362.4,,,,,115514.5
53.0,BEN,Benin,Bénin,,4825.1,,4417.2,2646.4,273.51,,,,4676.4,7604.0,287.29,,4444.7,4017.6,EN.ATM.CO2E.KT,,,3471.4,1735.1,,,,,302.07,2899.6,,,6876.2,,,,2177.3,7475.5,,282.61,6739.0,5505.6,1214.7,2443.2,,330.11,,,280.34,,,Émissions de CO2 (kt),1424.5,,,3998.2,973.49,,7980.4,,4652.6,,1236.54,,5186.1,,,,,1340.5
233.0,BFA,Burkina Faso,Burkina Faso,,2094.3,,1930.1,1133.84,599.6,,,,2947.0,5147.7,623.6,,2693.0,1909.6,EN.ATM.CO2E.KT,,,1400.48,1024.23,,,,,639.72,1151.29,,,4625.2,,,,1027.23,5646.5,,610.8,3997.8,3801.8,879.32,1102.48,,594.1,,,625.8,,,Émissions de CO2 (kt),1048.93,,,1682.82,724.9,,5456.7,,2200.4,,827.85,,2997.0,,,,,933.39
16.0,BGD,Bangladesh,Bangladesh,,50487.6,,44750.0,30527.5,10830.76,,,,62965.7,95944.6,12568.4,,58985.2,41580.8,EN.ATM.CO2E.KT,,,35902.8,25634.5,,,,,16554.48,32710.8,,,87658.0,,,,27284.2,92645.0,,11823.48,81128.9,73156.9,19249.5,28629.8,,11523.73,,,13543.45,,,Émissions de CO2 (kt),20686.7,,,37992.3,16825.3,,85493.1,,54309.9,,18970.9,,66313.1,,,,,20105.5
27.0,BGR,Bulgaria,Bulgarie,,44740.6,,42907.8,47265.7,58826.5,,,,39660.7,40898.2,55925.2,,45023.1,50039.3,EN.ATM.CO2E.KT,,,48954.8,46185.6,,,,,54882.8,47985.6,,,43885.1,,,,43599.9,39159.9,,55364.1,41586.7,44556.5,50477.5,47933.3,,73605.7,,,53724.0,,,Émissions de CO2 (kt),43421.1,,,52598.7,55301.7,,34138.1,,49637.6,,52994.6,,42054.4,,,,,44322.0
