Country Code,ISO3,Country Name eng,Country Name fr,Unnamed: 4,Region,Income_Group
178.0,ERI,Eritrea,Érythrée,,Afrique subsaharienne (hors revenu élevé),Faible revenu
203.0,ESP,Spain,Espagne,,,Revenu élevé
63.0,EST,Estonia,Estonie,,,Revenu élevé
238.0,ETH,Ethiopia,Éthiopie,,Afrique subsaharienne (hors revenu élevé),Faible revenu
,EUU,,Union européenne,,,Agrégats
,FCS,,"Fragile et les situations de conflit touchées
",,,Agrégats
67.0,FIN,Finland,Finlande,,,Revenu élevé
66.0,FJI,Fiji,Fidji,,Asie de l’Est et Pacifique (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
68.0,FRA,France,France,,,Revenu élevé
64.0,FRO,Faroe Islands,Îles Féroé,,,Revenu élevé
145.0,FSM,Micronesia (Federated States of),"Micronésie, États fédérés de",,Asie de l’Est et Pacifique (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
74.0,GAB,Gabon,Gabon,,Afrique subsaharienne (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
229.0,GBR,United Kingdom of Great Britain and Northern Ireland,Royaume-Uni,,,Revenu élevé
73.0,GEO,Georgia,Géorgie,,Europe et Asie centrale (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
81.0,GHA,Ghana,Ghana,,Afrique subsaharienne (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
82.0,GIB,Gibraltar,Gibraltar,,,Revenu élevé
90.0,GIN,Guinea,Guinée,,Afrique subsaharienne (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
75.0,GMB,Gambia,Gambie,,Afrique subsaharienne (hors revenu élevé),Faible revenu
175.0,GNB,Guinea-Bissau,Guinée-Bissau,,Afrique subsaharienne (hors revenu élevé),Faible revenu
61.0,GNQ,Equatorial Guinea,Guinée équatoriale,,Afrique subsaharienne (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
84.0,GRC,Greece,Grèce,,,Revenu élevé
86.0,GRD,Grenada,Grenade,,Amérique latine et Caraïbes (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
85.0,GRL,Greenland,Groenland,,,Revenu élevé
89.0,GTM,Guatemala,Guatemala,,Amérique latine et Caraïbes (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
88.0,GUM,Guam,Guam,,,Revenu élevé
91.0,GUY,Guyana,Guyana,,,Revenu élevé
,HIC,,Revenu élevé,,,Agrégats
96.0,HKG,"China, Hong Kong SAR","Chine, RAS de Hong Kong",,,Revenu élevé
95.0,HND,Honduras,Honduras,,Amérique latine et Caraïbes (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
,HPC,,Pays pauvres très endettés (PPTE),,,Agrégats
98.0,HRV,Croatia,Croatie,,,Revenu élevé
